game_id,title,developer,genre,year_released,platform,region
1,Wii Sports,Nintendo,Sports,2006,Wii,NA
2,Super Mario Bros.,Nintendo,Platform,1985,NES,NA
3,Mario Kart Wii,Nintendo,Racing,2008,Wii,NA
4,Wii Sports Resort,Nintendo,Sports,2009,Wii,NA
5,Pokemon Red/Pokemon Blue,Nintendo,Role-Playing,1996,GB,NA
6,Tetris,Nintendo,Puzzle,1989,GB,NA
7,New Super Mario Bros.,Nintendo,Platform,2006,DS,NA
8,Wii Play,Nintendo,Misc,2006,Wii,NA
9,New Super Mario Bros. Wii,Nintendo,Platform,2009,Wii,NA
10,Duck Hunt,Nintendo,Shooter,1984,NES,NA
11,Nintendogs,Nintendo,Simulation,2005,DS,EU
12,Mario Kart DS,Nintendo,Racing,2005,DS,NA
13,Pokemon Gold/Pokemon Silver,Nintendo,Role-Playing,1999,GB,NA
14,Wii Fit,Nintendo,Sports,2007,Wii,NA
15,Wii Fit Plus,Nintendo,Sports,2009,Wii,NA
16,Kinect Adventures!,Microsoft Game Studios,Misc,2010,X360,NA
17,Grand Theft Auto V,Take-Two Interactive,Action,2013,PS3,EU
18,Grand Theft Auto: San Andreas,Take-Two Interactive,Action,2004,PS2,OTHER
19,Super Mario World,Nintendo,Platform,1990,SNES,NA
20,Brain Age: Train Your Brain in Minutes a Day,Nintendo,Misc,2005,DS,EU
21,Pokemon Diamond/Pokemon Pearl,Nintendo,Role-Playing,2006,DS,NA
22,Super Mario Land,Nintendo,Platform,1989,GB,NA
23,Super Mario Bros. 3,Nintendo,Platform,1988,NES,NA
24,Grand Theft Auto V,Take-Two Interactive,Action,2013,X360,NA
25,Grand Theft Auto: Vice City,Take-Two Interactive,Action,2002,PS2,NA
26,Pokemon Ruby/Pokemon Sapphire,Nintendo,Role-Playing,2002,GBA,NA
27,Pokemon Black/Pokemon White,Nintendo,Role-Playing,2010,DS,JP
28,Brain Age 2: More Training in Minutes a Day,Nintendo,Puzzle,2005,DS,EU
29,Gran Turismo 3: A-Spec,Sony Computer Entertainment,Racing,2001,PS2,NA
30,Call of Duty: Modern Warfare 3,Activision,Shooter,2011,X360,NA
31,Pok̩mon Yellow: Special Pikachu Edition,Nintendo,Role-Playing,1998,GB,NA
32,Call of Duty: Black Ops,Activision,Shooter,2010,X360,NA
33,Pokemon X/Pokemon Y,Nintendo,Role-Playing,2013,3DS,NA
34,Call of Duty: Black Ops 3,Activision,Shooter,2015,PS4,EU
35,Call of Duty: Black Ops II,Activision,Shooter,2012,PS3,EU
36,Call of Duty: Black Ops II,Activision,Shooter,2012,X360,NA
37,Call of Duty: Modern Warfare 2,Activision,Shooter,2009,X360,NA
38,Call of Duty: Modern Warfare 3,Activision,Shooter,2011,PS3,EU
39,Grand Theft Auto III,Take-Two Interactive,Action,2001,PS2,NA
40,Super Smash Bros. Brawl,Nintendo,Fighting,2008,Wii,NA
41,Call of Duty: Black Ops,Activision,Shooter,2010,PS3,NA
42,Animal Crossing: Wild World,Nintendo,Simulation,2005,DS,JP
43,Mario Kart 7,Nintendo,Racing,2011,3DS,NA
44,Halo 3,Microsoft Game Studios,Shooter,2007,X360,NA
